3 phase apparent power all meters exported from database
Time,AG_SCIENCE__MCC_MTR,BIOMEDICAL_SCIENCE_CH_MTR_1,BIOMEDICAL_SCIENCE_CH_MTR_2,BIOMEDICAL_SCIENCE_MAIN_A_MTR,BIOMEDICAL_SCIENCE_MAIN_B_MTR,BIOMEDICAL_SCIENCE_MCC_A_MTR,HAMILTON_LIB_PH_III_CH_1_MTR,HAMILTON_LIB_PH_III_CH_2_MTR,HAMILTON_LIB_PH_III_CH_3_MTR,HAMILTON_LIB_PH_III_MAIN_1_MTR,HAMILTON_LIB_PH_III_MAIN_2_MTR,HAMILTON_LIB_PH_III_MCC_AC1_MTR,HAMILTON_LIB_PH_III_MCC_AC2_MTR
Aug 11 24  09:58,135550.00,0.00,289320.00,713750.00,39380.00,151970.00,0.00,131160.00,1490.00,344510.00,84220.00,58810.00,20420.00
Aug 11 24  09:59,139940.00,0.00,291330.00,706500.00,40950.00,152850.00,0.00,131160.00,1490.00,347870.00,86660.00,58960.00,20420.00
Aug 11 24  10:00,142410.00,0.00,292600.00,731320.00,42290.00,153130.00,0.00,131160.00,1490.00,366270.00,84490.00,58960.00,20010.00
Aug 11 24  10:01,123520.00,0.00,291960.00,708900.00,40650.00,152090.00,0.00,132320.00,1490.00,349700.00,84230.00,58960.00,20010.00
Aug 11 24  10:02,124950.00,0.00,291490.00,713920.00,41660.00,151560.00,0.00,132320.00,1490.00,354170.00,84650.00,58960.00,19720.00
Aug 11 24  10:03,135890.00,0.00,290240.00,729440.00,41540.00,149180.00,0.00,132230.00,1490.00,352810.00,84390.00,58960.00,19720.00
Aug 11 24  10:04,141410.00,0.00,294210.00,732700.00,40160.00,150540.00,0.00,132230.00,1490.00,348760.00,85210.00,58830.00,19720.00
Aug 11 24  10:05,126940.00,0.00,291620.00,740010.00,41400.00,153130.00,0.00,132230.00,1490.00,340440.00,84300.00,58830.00,19960.00
Aug 11 24  10:06,133970.00,0.00,290430.00,730560.00,43180.00,152920.00,0.00,132760.00,1490.00,345130.00,84580.00,58830.00,19960.00
Aug 11 24  10:07,139510.00,0.00,289550.00,734670.00,41640.00,153720.00,0.00,132760.00,1490.00,347820.00,84560.00,59080.00,18940.00
Aug 11 24  10:08,139420.00,0.00,289740.00,736980.00,42700.00,154490.00,0.00,134180.00,1490.00,350240.00,84690.00,59080.00,18940.00
Aug 11 24  10:09,141370.00,0.00,290080.00,734280.00,41850.00,152410.00,0.00,134180.00,1490.00,342860.00,84420.00,58840.00,18940.00
Aug 11 24  10:10,141230.00,0.00,290230.00,732300.00,41790.00,154010.00,0.00,134180.00,1490.00,335610.00,84870.00,58840.00,19410.00
Aug 11 24  10:11,141270.00,0.00,288670.00,728580.00,41770.00,150300.00,0.00,134770.00,1800.00,351410.00,84360.00,58840.00,19410.00
